a	silp a1
ai	silp a1 j1
am	silp a1 m1
an	silp a1 n1
ang	silp a1 ŋ1
anh	silp ɛ1 ɲ1
ao	silp a1 w1
au	silp ă1 w1
ba	b a1
bai	b a1 j1
ban	b a1 n1
bang	b a1 ŋ1
banh	b ɛ1 ɲ1
bao	b a1 w1
bay	b ă1 j1
be	b ɛ1
ben	b ɛ1 n1
beo	b eo1
bi	b i1
bia	b iə1
bin	b i1 n1
binh	b i1 ɲ1
biên	b iə1 n1
biếm	b iə5 m5
biến	b iə5 n5
biếng	b iə5 ŋ5
biết	b iə5 t5
biếu	b iə5 w5
biền	b iə2 n2
biển	b iə4 n4
biểu	b iə4 w4
biện	b iə6 n6
biệt	b iə6 t6
bo	b ɔ1
bom	b ɔ1 m1
bon	b ɔ1 n1
bong	b ɔ1 ŋ͡m1
bu	b u1
bun	b u1 n1
bung	b u1 ŋ͡m1
buôn	b uə1 n1
buông	b uə1 ŋ1
buýt	bw ʷi5 t5
buốt	b uə5 t5
buồm	b uə2 m2
buồn	b uə2 n2
buồng	b uə2 ŋ2
buổi	b uə4 j4
buộc	b uə6 k6
bà	b a2
bài	b a2 j2
bàn	b a2 n2
bàng	b a2 ŋ2
bành	b ɛ2 ɲ2
bào	b a2 w2
bày	b ă2 j2
bá	b a5
bác	b a5 k5
bách	b a5 tʃ5
bái	b a5 j5
bám	b a5 m5
bán	b a5 n5
bánh	b ɛ5 ɲ5
báo	b a5 w5
bát	b a5 t5
báu	b ă5 w5
bân	b ɤ̆1 n1
bâng	b ɤ̆1 ŋ1
bâu	b ɤ̆1 w1
bây	b ɤ̆1 j1
bã	b a3
bãi	b a3 j3
bão	b a3 w3
bè	b ɛ2
bèn	b ɛ2 n2
bèo	b eo2
bé	b ɛ5
bén	b ɛ5 n5
béng	b ɛ5 ŋ5
béo	b eo5
bét	b ɛ5 t5
bê	b e1
bên	b e1 n1
bênh	b e1 ɲ1
bêu	b ɛu1
bì	b i2
bìa	b iə2
bìm	b i2 m2
bình	b i2 ɲ2
bìu	b i2 w2
bí	b i5
bích	b i5 tʃ5
bít	b i5 t5
bò	b ɔ2
bòn	b ɔ2 n2
bòng	b ɔ2 ŋ͡m2
bó	b ɔ5
bóc	b ɔ5 k͡p5
bói	b ɔ5 j5
bón	b ɔ5 n5
bóng	b ɔ5 ŋ͡m5
bóp	b ɔ5 p5
bô	b o1
bôi	b o1 j1
bôn	b o1 n1
bông	b o1 ŋ͡m1
bõm	b ɔ3 m3
bù	b u2
bùa	b uə2
bùi	b u2 j2
bùn	b u2 n2
bùng	b u2 ŋ͡m2
